23:18:00.114 [cluster-ClusterId{value='69c5714eacb267d0ad8746f8', description='Cluster0'}-ac-exzrcvr-shard-00-00.3mev3q1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-exzrcvr-shard-00-00.3mev3q1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=541829699, minRoundTripTimeNanos=0, setName='atlas-oa4inv-shard-0', canonicalAddress=ac-exzrcvr-shard-00-00.3mev3q1.mongodb.net:27017, hosts=[ac-exzrcvr-shard-00-00.3mev3q1.mongodb.net:27017, ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017, ac-exzrcvr-shard-00-02.3mev3q1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=287, topologyVersion=TopologyVersion{processId=69b2e4ff0d5b521614cbc362, counter=4}, lastWriteDate=Thu Mar 26 23:18:00 IST 2026, lastUpdateTimeNanos=4414061167590799}
23:18:27.944 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
23:18:28.013 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 54 ms. Found 3 MongoDB repository interfaces.
23:18:29.088 [cluster-ClusterId{value='69c5716d3b2da1be94e7de78', description='Cluster0'}-srv-cluster0.3mev3q1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017 to client view of cluster
23:18:29.111 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.2"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/21.0.9+7-LTS-338"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='spranchal864_db_user', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsCommandListener@606b53a3], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@432c0f1, com.mongodb.Jep395RecordCodecProvider@37bda983, com.mongodb.KotlinCodecProvider@284d4885]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.3mev3q1.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-oa4inv-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsConnectionPoolListener@1201e064], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
23:18:29.163 [cluster-ClusterId{value='69c5716d3b2da1be94e7de78', description='Cluster0'}-srv-cluster0.3mev3q1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-exzrcvr-shard-00-00.3mev3q1.mongodb.net:27017 to client view of cluster
23:18:29.168 [cluster-ClusterId{value='69c5716d3b2da1be94e7de78', description='Cluster0'}-srv-cluster0.3mev3q1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-exzrcvr-shard-00-02.3mev3q1.mongodb.net:27017 to client view of cluster
23:18:29.641 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29986 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-exzrcvr-shard-00-02.3mev3q1.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-exzrcvr-shard-00-00.3mev3q1.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
23:18:30.073 [cluster-ClusterId{value='69c5716d3b2da1be94e7de78', description='Cluster0'}-ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=465231600, minRoundTripTimeNanos=0, setName='atlas-oa4inv-shard-0', canonicalAddress=ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017, hosts=[ac-exzrcvr-shard-00-00.3mev3q1.mongodb.net:27017, ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017, ac-exzrcvr-shard-00-02.3mev3q1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000121, setVersion=287, topologyVersion=TopologyVersion{processId=69b2e7d7ffef36ef94f670d8, counter=6}, lastWriteDate=Thu Mar 26 23:18:30 IST 2026, lastUpdateTimeNanos=4414091127118000}
23:18:30.073 [cluster-ClusterId{value='69c5716d3b2da1be94e7de78', description='Cluster0'}-ac-exzrcvr-shard-00-00.3mev3q1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-exzrcvr-shard-00-00.3mev3q1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=465764901, minRoundTripTimeNanos=0, setName='atlas-oa4inv-shard-0', canonicalAddress=ac-exzrcvr-shard-00-00.3mev3q1.mongodb.net:27017, hosts=[ac-exzrcvr-shard-00-00.3mev3q1.mongodb.net:27017, ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017, ac-exzrcvr-shard-00-02.3mev3q1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=287, topologyVersion=TopologyVersion{processId=69b2e4ff0d5b521614cbc362, counter=4}, lastWriteDate=Thu Mar 26 23:18:30 IST 2026, lastUpdateTimeNanos=4414091127647900}
23:18:30.074 [cluster-ClusterId{value='69c5716d3b2da1be94e7de78', description='Cluster0'}-ac-exzrcvr-shard-00-02.3mev3q1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-exzrcvr-shard-00-02.3mev3q1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=465231700, minRoundTripTimeNanos=0, setName='atlas-oa4inv-shard-0', canonicalAddress=ac-exzrcvr-shard-00-02.3mev3q1.mongodb.net:27017, hosts=[ac-exzrcvr-shard-00-00.3mev3q1.mongodb.net:27017, ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017, ac-exzrcvr-shard-00-02.3mev3q1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=287, topologyVersion=TopologyVersion{processId=69b2ea8b1a2857c1cb805842, counter=3}, lastWriteDate=Thu Mar 26 23:18:30 IST 2026, lastUpdateTimeNanos=4414091127118000}
23:18:30.079 [cluster-ClusterId{value='69c5716d3b2da1be94e7de78', description='Cluster0'}-ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-exzrcvr-shard-00-01.3mev3q1.mongodb.net:27017 with max election id 7fffffff0000000000000121 and max set version 287
23:18:31.888 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
23:18:31.955 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
23:18:33.147 [main] INFO  c.e.j.Services.EmailServiceTest - Started EmailServiceTest in 7.001 seconds (process running for 9.166)
